iter	Passed	Remaining
0	1	192
1	3	173
2	5	191
3	7	178
4	9	171
5	10	171
6	13	173
7	14	171
8	17	172
9	18	168
10	20	163
11	21	160
12	23	159
13	25	157
14	27	154
15	29	153
16	31	151
17	32	148
18	34	148
19	36	147
20	38	143
21	39	141
22	41	138
23	43	136
24	44	133
25	46	131
26	48	130
27	49	128
28	51	126
29	53	124
30	55	123
31	57	122
32	59	121
33	61	119
34	63	117
35	65	115
36	67	114
37	68	112
38	70	109
39	72	108
40	74	106
41	75	103
42	76	101
43	78	99
44	80	97
45	81	96
46	83	94
47	85	92
48	87	90
49	88	88
50	89	86
51	91	84
52	93	83
53	95	81
54	96	79
55	98	77
56	100	75
57	101	73
58	103	72
59	105	70
60	106	68
61	108	66
62	110	64
63	112	63
64	113	61
65	115	59
66	117	57
67	119	56
68	120	54
69	122	52
70	124	50
71	125	48
72	127	47
73	130	45
74	132	44
75	133	42
76	136	40
77	137	38
78	139	37
79	141	35
80	143	33
81	145	31
82	146	30
83	148	28
84	150	26
85	151	24
86	153	22
87	155	21
88	156	19
89	158	17
90	160	15
91	162	14
92	163	12
93	165	10
94	166	8
95	168	7
96	169	5
97	171	3
98	173	1
99	175	0
